GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_000412675.1	707648	GCF_000412675.1	707668	
GCA_006094375.1	10959768	GCF_006094375.1	11020258	
GCA_000007125.1	7928	GCF_000007125.1	28708	
GCA_000013285.1	14088	GCF_000013285.1	34388	
GCA_000010505.1	11308	GCF_000010505.1	31988	
GCA_000832905.1	1514028	GCF_000832905.1	1525468	
GCA_019048385.1	27595108	GCF_019048385.1	27603558	
GCA_000306945.1	447208	GCF_000306945.1	447228	
GCA_014131755.1	21503358	GCF_014131755.1	21562288	
GCA_000146165.2	458008	GCF_000146165.2	458028	
GCA_016026695.1	23870278	GCF_016026695.1	23949108	
GCA_000023205.1	24008	GCF_000023205.1	43988	
GCA_000829055.1	1504838	GCF_000829055.1	1507508	
GCA_900560965.1	8846688	GCF_900560965.1	8970758	
GCA_001457455.1	2704098	GCF_001457455.1	2845118	
GCA_018223745.1	26555938	GCF_018223745.1	26693598	
GCA_000091545.1	112178	GCF_000091545.1	113978	
GCA_000007505.1	8308	GCF_000007505.1	29088	
GCA_001729805.1	3449178	GCF_001729805.1	3456278	
GCA_000083545.1	353808	GCF_000083545.1	102208	
GCA_001457555.1	2704238	GCF_001457555.1	2715948	
GCA_900637025.1	8122558	GCF_900637025.1	8155078	
GCA_004799605.1	9344738	GCF_004799605.1	9417808	
GCA_000007925.1	8728	GCF_000007925.1	29508	
GCA_000204255.1	266488	GCF_000204255.1	371638	
GCA_000007805.1	8608	GCF_000007805.1	29388	
GCA_002706795.1	5560408	GCF_002706795.1	5592198	
GCA_000007985.2	419268	GCF_000007985.2	419288	
GCA_001750725.1	3479958	GCF_001750725.1	3480998	
GCA_002982115.1	6189238	GCF_002982115.1	6239538	
GCA_003641185.1	7568648	GCF_003641185.1	7600928	
GCA_900660465.1	8460568	GCF_900660465.1	8524838	
GCA_004101845.1	8330098	GCF_004101845.1	8334388	
GCA_001558415.2	6032858	GCF_001558415.2	6053228	
GCA_000236925.1	318468	GCF_000236925.1	445138	
GCA_002813755.1	5715818	GCF_002813755.1	5735178	
GCA_000025685.1	26488	GCF_000025685.1	110228	
GCA_000018525.1	19328	GCF_000018525.1	39608	
GCA_002945325.1	6088328	GCF_002945325.1	6150998	
GCA_000062885.1	353948	GCF_000062885.1	81488	
GCA_018323985.1	26659168	GCF_018323985.1	26725828	
GCA_000697965.2	3300028	GCF_000697965.2	3314428	
GCA_001006005.1	1771468	GCF_001006005.1	1772248	
GCA_001020205.1	1798168	GCF_001020205.1	1800558	
GCA_900637845.1	8123838	GCF_900637845.1	8151498	
GCA_017724035.1	25986728	GCF_017724035.1	26076418	
GCA_000157895.2	856238	GCF_000157895.3	856258	
GCA_900637055.1	8122598	GCF_900637055.1	8153858	
GCA_004792415.1	9297568	GCF_004792415.1	9301228	
GCA_001700985.1	3376298	GCF_001700985.1	3381098	
GCA_900475975.1	6715868	GCF_900475975.1	6724418	
GCA_000009765.2	3140618	GCF_000009765.2	3192468	
GCA_001632805.1	3211138	GCF_001632805.1	3279698	
GCA_001314995.1	2393038	GCF_001314995.1	2815248	
GCA_003814405.1	7903978	GCF_003814405.1	7920688	
GCA_008245085.1	13577378	GCF_008245085.1	13760698	
