2742204   Bacteria   Proteobacteria                Alphaproteobacteria        Hyphomicrobiales                         Hyphomicrobiaceae                                   Methyloligella                     Methyloligella sp. GL2                                         Unassigned
628       Bacteria   Proteobacteria                Gammaproteobacteria        Enterobacterales                         Morganellaceae                                      Xenorhabdus                        Xenorhabdus nematophila                                        Unassigned
40576     Bacteria   Proteobacteria                Gammaproteobacteria        Enterobacterales                         Morganellaceae                                      Xenorhabdus                        Xenorhabdus bovienii                                           Unassigned
290110    Bacteria   Proteobacteria                Gammaproteobacteria        Enterobacterales                         Morganellaceae                                      Xenorhabdus                        Xenorhabdus budapestensis                                      Unassigned
351671    Bacteria   Proteobacteria                Gammaproteobacteria        Enterobacterales                         Morganellaceae                                      Xenorhabdus                        Xenorhabdus doucetiae                                          Unassigned
351679    Bacteria   Proteobacteria                Gammaproteobacteria        Enterobacterales                         Morganellaceae                                      Xenorhabdus                        Xenorhabdus hominickii                                         Unassigned
406817    Bacteria   Proteobacteria                Gammaproteobacteria        Enterobacterales                         Morganellaceae                                      Xenorhabdus                        Xenorhabdus nematophila                                        Xenorhabdus nematophila ATCC 19061
406818    Bacteria   Proteobacteria                Gammaproteobacteria        Enterobacterales                         Morganellaceae                                      Xenorhabdus                        Xenorhabdus bovienii                                           Xenorhabdus bovienii SS-2004
1354304   Bacteria   Proteobacteria                Gammaproteobacteria        Enterobacterales                         Morganellaceae                                      Xenorhabdus                        Xenorhabdus poinarii                                           Xenorhabdus poinarii G6
1437823   Bacteria   Proteobacteria                Gammaproteobacteria        Enterobacterales                         Morganellaceae                                      Xenorhabdus                        Xenorhabdus nematophila                                        Xenorhabdus nematophila AN6/1
401471    Bacteria   Proteobacteria                Betaproteobacteria         Burkholderiales                          Oxalobacteraceae                                    Undibacterium                      Undibacterium parvum                                           Unassigned
2058624   Bacteria   Proteobacteria                Betaproteobacteria         Burkholderiales                          Oxalobacteraceae                                    Undibacterium                      Undibacterium sp. KW1                                          Unassigned
2058625   Bacteria   Proteobacteria                Betaproteobacteria         Burkholderiales                          Oxalobacteraceae                                    Undibacterium                      Undibacterium sp. YM2                                          Unassigned
75985     Bacteria   Proteobacteria                Gammaproteobacteria        Pasteurellales                           Pasteurellaceae                                     Mannheimia                         Mannheimia haemolytica                                         Unassigned
85402     Bacteria   Proteobacteria                Gammaproteobacteria        Pasteurellales                           Pasteurellaceae                                     Mannheimia                         Mannheimia granulomatis                                        Unassigned
85404     Bacteria   Proteobacteria                Gammaproteobacteria        Pasteurellales                           Pasteurellaceae                                     Mannheimia                         Mannheimia varigena                                            Unassigned
111844    Bacteria   Proteobacteria                Gammaproteobacteria        Pasteurellales                           Pasteurellaceae                                     Mannheimia                         Mannheimia pernigra                                            Unassigned
1222034   Bacteria   Proteobacteria                Gammaproteobacteria        Pasteurellales                           Pasteurellaceae                                     Mannheimia                         Mannheimia haemolytica                                         Mannheimia haemolytica USDA-ARS-USMARC-184
1249526   Bacteria   Proteobacteria                Gammaproteobacteria        Pasteurellales                           Pasteurellaceae                                     Mannheimia                         Mannheimia haemolytica                                         Mannheimia haemolytica USDA-ARS-USMARC-185
1249531   Bacteria   Proteobacteria                Gammaproteobacteria        Pasteurellales                           Pasteurellaceae                                     Mannheimia                         Mannheimia haemolytica                                         Mannheimia haemolytica USDA-ARS-USMARC-183
1261126   Bacteria   Proteobacteria                Gammaproteobacteria        Pasteurellales                           Pasteurellaceae                                     Mannheimia                         Mannheimia haemolytica                                         Mannheimia haemolytica D153
1311759   Bacteria   Proteobacteria                Gammaproteobacteria        Pasteurellales                           Pasteurellaceae                                     Mannheimia                         Mannheimia haemolytica                                         Mannheimia haemolytica D171
1311760   Bacteria   Proteobacteria                Gammaproteobacteria        Pasteurellales                           Pasteurellaceae                                     Mannheimia                         Mannheimia haemolytica                                         Mannheimia haemolytica D174
1316932   Bacteria   Proteobacteria                Gammaproteobacteria        Pasteurellales                           Pasteurellaceae                                     Mannheimia                         Mannheimia haemolytica                                         Mannheimia haemolytica M42548
1366053   Bacteria   Proteobacteria                Gammaproteobacteria        Pasteurellales                           Pasteurellaceae                                     Mannheimia                         Mannheimia haemolytica                                         Mannheimia haemolytica USMARC_2286
1432056   Bacteria   Proteobacteria                Gammaproteobacteria        Pasteurellales                           Pasteurellaceae                                     Mannheimia                         Mannheimia sp. USDA-ARS-USMARC-1261                            Unassigned
1433287   Bacteria   Proteobacteria                Gammaproteobacteria        Pasteurellales                           Pasteurellaceae                                     Mannheimia                         Mannheimia varigena                                            Mannheimia varigena USDA-ARS-USMARC-1296
1434214   Bacteria   Proteobacteria                Gammaproteobacteria        Pasteurellales                           Pasteurellaceae                                     Mannheimia                         Mannheimia varigena                                            Mannheimia varigena USDA-ARS-USMARC-1312
1434215   Bacteria   Proteobacteria                Gammaproteobacteria        Pasteurellales                           Pasteurellaceae                                     Mannheimia                         Mannheimia varigena                                            Mannheimia varigena USDA-ARS-USMARC-1388
2679994   Bacteria   Proteobacteria                Gammaproteobacteria        Pasteurellales                           Pasteurellaceae                                     Mannheimia                         Mannheimia ovis                                                Unassigned
