,taxid,assembly_accession,organism_name,superkingdom,phylum,class,order,family,genus,no_rank
0,2742204,GCF_013341275.1,Methyloligella sp. GL2,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Methyloligella,
1,628,GCF_003575005.1,Xenorhabdus nematophila,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus,
2,628,GCF_014295015.1,Xenorhabdus nematophila,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus,
3,40576,GCF_000973125.1,Xenorhabdus bovienii,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus,
4,290110,GCF_017743015.1,Xenorhabdus budapestensis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus,
5,351671,GCF_000968195.1,Xenorhabdus doucetiae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus,
6,351679,GCF_001721185.1,Xenorhabdus hominickii,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus,
7,406817,GCF_000252955.1,Xenorhabdus nematophila ATCC 19061,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus,Xenorhabdus nematophila ATCC 19061
8,406818,GCF_000027225.1,Xenorhabdus bovienii SS-2004,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus,Xenorhabdus bovienii SS-2004
9,1354304,GCF_000968175.1,Xenorhabdus poinarii G6,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus,Xenorhabdus poinarii G6
10,1437823,GCF_000953355.1,Xenorhabdus nematophila AN6/1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus,Xenorhabdus nematophila AN6/1
11,401471,GCF_003955735.1,Undibacterium parvum,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Undibacterium,
12,2058624,GCF_009937955.1,Undibacterium sp. KW1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Undibacterium,
13,2058625,GCF_009937975.1,Undibacterium sp. YM2,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Undibacterium,
14,75985,GCF_000963635.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
15,75985,GCF_000963675.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
16,75985,GCF_002285575.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
17,75985,GCF_002285595.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
18,75985,GCF_002285615.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
19,75985,GCF_002285815.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
20,75985,GCF_003261375.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
21,75985,GCF_003261395.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
22,75985,GCF_007963885.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
23,75985,GCF_007964065.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
24,75985,GCF_007964225.1,Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,
